chrom	left	right	max_coverage	gene_id	strand	pval	height	gene_name	Fold change SP/OO GL	Classification OO/SP GL	Oo. expression	Sp. expression	Wormbase ID	Program	WB ID	biotype	chrm	location
X	5778970	5779022	3	WBGene00004788	-	0	3.0	sft-4	-0.09892227	Gender Neutral	39.9914	36.3686	WBGene00004788	Oogenic and Spermatogenic	WBGene00004788	protein_coding	X	3'UTR
III	8763782	8763845	4	WBGene00003253	-	0	4.0	mig-22	-1.263925	Oogenic	71.6447	29.3521	WBGene00003253	Oogenic only	WBGene00003253	protein_coding	III	3'UTR
X	13765655	13765698	2	WBGene00010117	-	0	2.0	nkb-3	0.8288016	Gender Neutral	4.3863	7.7596	WBGene00010117	Oogenic and Spermatogenic	WBGene00010117	protein_coding	X	3'UTR
IV	11645675	11645713	2	WBGene00014088	-	0	2.0	ZK809.8	1.147518	Gender Neutral	3.55896	8.09859	WBGene00014088	Oogenic and Spermatogenic	WBGene00014088	protein_coding	IV	3'UTR
III	7737109	7737147	3	WBGene00003559	+	0	3.0	ncl-1	0.9071305	Gender Neutral	17.5587	31.4326	WBGene00003559	Oogenic and Spermatogenic	WBGene00003559	protein_coding	III	3'UTR
III	7737156	7737238	3	WBGene00003559	+	0	3.0	ncl-1	0.9071305	Gender Neutral	17.5587	31.4326	WBGene00003559	Oogenic and Spermatogenic	WBGene00003559	protein_coding	III	3'UTR
I	6094049	6094144	5	WBGene00022748	+	0	4.0	ZK484.1	0.2133004	Gender Neutral	413.439	479.854	WBGene00022748	Oogenic and Spermatogenic	WBGene00022748	protein_coding	I	3'UTR
I	6094311	6094370	2	WBGene00022748	+	0	2.0	ZK484.1	0.2133004	Gender Neutral	413.439	479.854	WBGene00022748	Oogenic and Spermatogenic	WBGene00022748	protein_coding	I	3'UTR
IV	7983516	7983571	2	WBGene00000183	+	0	2.0	arf-3	1.017942	Spermatogenic	326.83	630.739	WBGene00000183	Oogenic and Spermatogenic	WBGene00000183	protein_coding	IV	3'UTR
IV	7983632	7983698	2	WBGene00000183	+	0	2.0	arf-3	1.017942	Spermatogenic	326.83	630.739	WBGene00000183	Oogenic and Spermatogenic	WBGene00000183	protein_coding	IV	3'UTR
III	5716981	5717024	2	WBGene00000182	+	0	2.0	arf-1.2	0.9084002	Gender Neutral	259.921	459.95	WBGene00000182	Oogenic and Spermatogenic	WBGene00000182	protein_coding	III	3'UTR
III	5717082	5717131	2	WBGene00000182	+	0	2.0	arf-1.2	0.9084002	Gender Neutral	259.921	459.95	WBGene00000182	Oogenic and Spermatogenic	WBGene00000182	protein_coding	III	3'UTR
III	5273902	5273949	2	WBGene00022599	-	0	2.0	ZC395.10	-0.09339007	Gender Neutral	1132.51	1012.88	WBGene00022599	Oogenic and Spermatogenic	WBGene00022599	protein_coding	III	3'UTR
III	12992615	12992666	2	WBGene00000672	-	0	2.0	col-97	-2.409862	Gender Neutral	2.90674	0.398017	WBGene00000672	Oogenic and Spermatogenic	WBGene00000672	protein_coding	III	3'UTR
IV	1880271	1880359	4	WBGene00001173	+	0	4.0	egl-4	-0.665189	Gender Neutral	101.953	62.7683	WBGene00001173	Oogenic and Spermatogenic	WBGene00001173	protein_coding	IV	3'UTR
IV	1880398	1880480	3	WBGene00001173	+	0	2.0	egl-4	-0.665189	Gender Neutral	101.953	62.7683	WBGene00001173	Oogenic and Spermatogenic	WBGene00001173	protein_coding	IV	3'UTR
IV	9463890	9463934	4	WBGene00009542	+	0	4.0	copb-2	0.5533268	Gender Neutral	99.9079	140.71	WBGene00009542	Oogenic only	WBGene00009542	protein_coding	IV	3'UTR
I	6056310	6056381	3	WBGene00016157	-	0	3.0	C27A12.7	-0.3526513	Gender Neutral	64.1292	53.7927	WBGene00016157	Oogenic only	WBGene00016157	protein_coding	I	3'UTR
III	9324325	9324438	3	WBGene00000770	+	0	2.0	cpb-1	1.779662	Spermatogenic	40.2342	132.952	WBGene00000770	Oogenic and Spermatogenic	WBGene00000770	protein_coding	III	3'UTR
V	15136233	15136296	4	WBGene00010685	-	0	4.0	aipl-1	-0.2419712	Gender Neutral	188.234	153.735	WBGene00010685	Oogenic only	WBGene00010685	protein_coding	V	CDS
I	5788683	5788768	4	WBGene00000772	-	0	4.0	cpb-3	-0.9881718	Gender Neutral	117.365	57.2887	WBGene00000772	Oogenic only	WBGene00000772	protein_coding	I	3'UTR
I	5788893	5788928	4	WBGene00000772	-	0	4.0	cpb-3	-0.9881718	Gender Neutral	117.365	57.2887	WBGene00000772	Oogenic only	WBGene00000772	protein_coding	I	3'UTR
X	3840929	3840988	3	WBGene00022515	-	0	3.0	ttr-48	1.048268	Gender Neutral	4.08847	7.0084	WBGene00022515	Spermatogenic only	WBGene00022515	protein_coding	X	3'UTR
I	6572483	6572533	4	WBGene00019001	+	0	4.0	ipgm-1	-0.0133035	Gender Neutral	109.863	97.6251	WBGene00019001	Oogenic only	WBGene00019001	protein_coding	I	3'UTR
IV	17281560	17281628	4	WBGene00012128	-	0	4.0	nra-1	-0.1740036	Gender Neutral	74.1851	62.6274	WBGene00012128	Oogenic only	WBGene00012128	protein_coding	IV	3'UTR
I	2921532	2921597	3	WBGene00004049	-	0	3.0	pme-1	-0.07765284	Gender Neutral	73.5581	66.5856	WBGene00004049	Oogenic only	WBGene00004049	protein_coding	I	CDS
III	3466958	3467016	4	WBGene00007922	+	0	4.0	pph-6	0.3435394	Gender Neutral	58.2773	71.4884	WBGene00007922	Oogenic only	WBGene00007922	protein_coding	III	3'UTR
III	7179454	7179487	2	WBGene00004483	-	0	2.0	rps-14	0.7019528	Gender Neutral	2139.77	3336.39	WBGene00004483	Oogenic and Spermatogenic	WBGene00004483	protein_coding	III	CDS
III	9822688	9822793	2	WBGene00014015	+	0	2.0	panl-3	-0.2068443	Gender Neutral	57.892	49.901	WBGene00014015	Oogenic only	WBGene00014015	protein_coding	III	3'UTR
III	9822932	9823005	2	WBGene00014015	+	0	2.0	panl-3	-0.2068443	Gender Neutral	57.892	49.901	WBGene00014015	Oogenic only	WBGene00014015	protein_coding	III	3'UTR
I	2895384	2895410	2	WBGene00022119	-	0	2.0	copa-1	0.7631096	Gender Neutral	117.392	192.524	WBGene00022119	Oogenic and Spermatogenic	WBGene00022119	protein_coding	I	3'UTR
I	2878034	2878092	2	WBGene00022114	+	0	2.0	Y71F9AL.9	0.09711941	Gender Neutral	254.49	260.463	WBGene00022114	Oogenic and Spermatogenic	WBGene00022114	protein_coding	I	3'UTR
I	2878284	2878380	2	WBGene00022114	+	0	2.0	Y71F9AL.9	0.09711941	Gender Neutral	254.49	260.463	WBGene00022114	Oogenic and Spermatogenic	WBGene00022114	protein_coding	I	3'UTR
IV	6121496	6121572	4	WBGene00006974	+	0	4.0	zen-4	-0.3988525	Gender Neutral	107.572	85.8989	WBGene00006974	Oogenic and Spermatogenic	WBGene00006974	protein_coding	IV	3'UTR
II	14251089	14251154	2	WBGene00001971	+	0	2.0	hmg-1.1	-0.1004598	Gender Neutral	900.513	807.906	WBGene00001971	Oogenic and Spermatogenic	WBGene00001971	protein_coding	II	3'UTR
II	14251399	14251445	2	WBGene00001971	+	0	2.0	hmg-1.1	-0.1004598	Gender Neutral	900.513	807.906	WBGene00001971	Oogenic and Spermatogenic	WBGene00001971	protein_coding	II	3'UTR
I	4307974	4308026	4	WBGene00021628	+	0	4.0	Y47D9A.1	0.7015465	Gender Neutral	75.9221	119.117	WBGene00021628	Oogenic only	WBGene00021628	protein_coding	I	3'UTR
IV	11157537	11157599	3	WBGene00007446	-	0	3.0	mboa-4	8.607559	Spermatogenic	0.177078	96.3677	WBGene00007446	Spermatogenic only	WBGene00007446	protein_coding	IV	CDS
II	8942435	8942565	4	WBGene00011886	+	0	4.0	T21B10.4	0.02913719	Gender Neutral	105.444	103.572	WBGene00011886	Oogenic and Spermatogenic	WBGene00011886	protein_coding	II	3'UTR
II	9939186	9939231	2	WBGene00007332	+	0	2.0	C05C10.5	-3.802273	Oogenic	323.41	22.8931	WBGene00007332	Oogenic only	WBGene00007332	protein_coding	II	5'UTR
II	8908187	8908237	3	WBGene00002251	+	0	3.0	lat-1	-0.2880378	Gender Neutral	76.6432	58.3821	WBGene00002251	Oogenic only	WBGene00002251	protein_coding	II	3'UTR
V	13044447	13044505	3	WBGene00002250	+	0	3.0	lap-2	0.3010251	Gender Neutral	176.144	210.127	WBGene00002250	Oogenic and Spermatogenic	WBGene00002250	protein_coding	V	CDS
II	8972276	8972332	4	WBGene00007686	-	0	4.0	tomm-40	0.1342367	Gender Neutral	201.771	213.368	WBGene00007686	Oogenic only	WBGene00007686	protein_coding	II	3'UTR
III	4216924	4216971	2	WBGene00003401	-	0	2.0	mpk-1	-0.9295503	Gender Neutral	107.068	53.7787	WBGene00003401	Oogenic only	WBGene00003401	protein_coding	III	3'UTR
III	4217090	4217155	4	WBGene00003401	-	0	4.0	mpk-1	-0.9295503	Gender Neutral	107.068	53.7787	WBGene00003401	Oogenic only	WBGene00003401	protein_coding	III	3'UTR
III	4217176	4217236	2	WBGene00003401	-	0	2.0	mpk-1	-0.9295503	Gender Neutral	107.068	53.7787	WBGene00003401	Oogenic only	WBGene00003401	protein_coding	III	3'UTR
IV	17470557	17470597	3	WBGene00008707	-	0	3.0	F11E6.3	1.368029	Gender Neutral	47.5889	113.0	WBGene00008707	Oogenic and Spermatogenic	WBGene00008707	protein_coding	IV	3'UTR
II	10543689	10543728	2	WBGene00014492	-	0	2.0	R166.6					WBGene00014492		WBGene00014492	ncRNA	II	ncRNA
I	4268133	4268179	2	WBGene00000382	-	0	2.0	cdc-6	-1.315431	Oogenic	88.1478	34.3664	WBGene00000382	Oogenic only	WBGene00000382	protein_coding	I	3'UTR
IV	6705982	6706033	4	WBGene00044503	+	0	4.0	Y73B6A.6					WBGene00044503		WBGene00044503	pseudogene	IV	ncRNA
I	3159495	3159550	2	WBGene00006888	-	0	2.0	vbh-1					WBGene00006888	Oogenic only	WBGene00006888	protein_coding	I	3'UTR
I	3159558	3159686	5	WBGene00006888	-	0	3.0	vbh-1					WBGene00006888	Oogenic only	WBGene00006888	protein_coding	I	3'UTR
I	8574062	8574132	4	WBGene00011352	-	0	4.0	rskn-1	-3.541251	Oogenic	155.482	13.2814	WBGene00011352	Oogenic only	WBGene00011352	protein_coding	I	3'UTR
III	12025252	12025292	2	WBGene00000273	+	0	2.0	brp-1	0.5108914	Gender Neutral	7.4282	10.0757	WBGene00000273	Oogenic and Spermatogenic	WBGene00000273	protein_coding	III	3'UTR
I	7503263	7503313	2	WBGene00007042	+	0	2.0	pbrm-1	-0.6278165	Gender Neutral	55.8349	31.3429	WBGene00007042	Oogenic only	WBGene00007042	protein_coding	I	3'UTR
V	11244486	11244561	4	WBGene00011835	+	0	4.0	T19B10.8	-0.5628956	Gender Neutral	88.9816	59.3553	WBGene00011835	Oogenic only	WBGene00011835	protein_coding	V	3'UTR
V	11237469	11237544	3	WBGene00011834	-	0	3.0	dvc-1	-0.6322056	Gender Neutral	158.541	98.5867	WBGene00011834	Oogenic and Spermatogenic	WBGene00011834	protein_coding	V	3'UTR
V	11238928	11238974	2	WBGene00011834	-	0	2.0	dvc-1	-0.6322056	Gender Neutral	158.541	98.5867	WBGene00011834	Oogenic and Spermatogenic	WBGene00011834	protein_coding	V	5'UTR
II	4709835	4709874	3	WBGene00006626	+	0	3.0	tsn-1	0.004863182	Gender Neutral	249.723	241.62	WBGene00006626	Oogenic only	WBGene00006626	protein_coding	II	3'UTR
II	4709942	4710021	3	WBGene00006626	+	0	3.0	tsn-1	0.004863182	Gender Neutral	249.723	241.62	WBGene00006626	Oogenic only	WBGene00006626	protein_coding	II	3'UTR
IV	3807942	3807993	2	WBGene00019726	-	0	2.0	bris-1					WBGene00019726	Oogenic only	WBGene00019726	protein_coding	IV	3'UTR
III	6299453	6299523	4	WBGene00018564	-	0	4.0	F47D12.9	-0.8045662	Gender Neutral	85.1478	45.7568	WBGene00018564	Oogenic only	WBGene00018564	protein_coding	III	3'UTR
III	6299647	6299686	2	WBGene00018564	-	0	2.0	F47D12.9	-0.8045662	Gender Neutral	85.1478	45.7568	WBGene00018564	Oogenic only	WBGene00018564	protein_coding	III	3'UTR
III	6300810	6300855	2	WBGene00018564	-	0	2.0	F47D12.9	-0.8045662	Gender Neutral	85.1478	45.7568	WBGene00018564	Oogenic only	WBGene00018564	protein_coding	III	CDS
IV	10732840	10732893	3	WBGene00013857	-	0	3.0	orc-5	-0.2325702	Gender Neutral	108.868	85.734	WBGene00013857	Oogenic and Spermatogenic	WBGene00013857	protein_coding	IV	3'UTR
II	5916651	5916717	4	WBGene00019127	+	0	4.0	cgt-3					WBGene00019127	Oogenic only	WBGene00019127	protein_coding	II	3'UTR
I	4665997	4666040	2	WBGene00006961	-	0	2.0	xnp-1	0.6384176	Gender Neutral	26.5606	40.2541	WBGene00006961	Oogenic only	WBGene00006961	protein_coding	I	3'UTR
I	3367697	3367783	3	WBGene00021035	-	0	3.0	W05F2.3	-4.125918	Oogenic	843.916	45.4246	WBGene00021035	Oogenic only	WBGene00021035	protein_coding	I	3'UTR
IV	10492720	10492772	4	WBGene00000419	+	0	4.0	ced-5	-0.2881151	Gender Neutral	30.548	24.0944	WBGene00000419	Oogenic only	WBGene00000419	protein_coding	IV	3'UTR
II	11455663	11455716	2	WBGene00004698	+	0	2.0	rsp-1	0.5560614	Gender Neutral	184.929	261.985	WBGene00004698	Oogenic only	WBGene00004698	protein_coding	II	3'UTR
X	10897909	10897979	2	WBGene00009812	-	0	2.0	suca-1	-0.08052787	Gender Neutral	59.2939	54.0481	WBGene00009812	Oogenic only	WBGene00009812	protein_coding	X	3'UTR
V	725657	725698	2	WBGene00001564	-	0	2.0	icl-1	0.1329336	Gender Neutral	6.64432	6.81524	WBGene00001564	Spermatogenic only	WBGene00001564	protein_coding	V	CDS
V	6511981	6512084	4	WBGene00001073	-	0	4.0	dpy-11	-0.9386042	Gender Neutral	93.8047	48.2127	WBGene00001073	Oogenic and Spermatogenic	WBGene00001073	protein_coding	V	3'UTR
II	6246161	6246193	3	WBGene00020783	+	0	3.0	blos-4	-0.8261766	Gender Neutral	79.1033	41.6822	WBGene00020783	Oogenic only	WBGene00020783	protein_coding	II	3'UTR
IV	4446715	4446804	4	WBGene00019947	+	0	4.0	htz-1	-1.221847	Oogenic	800.892	325.853	WBGene00019947	Oogenic only	WBGene00019947	protein_coding	IV	3'UTR
IV	4446835	4446878	3	WBGene00019947	+	0	3.0	htz-1	-1.221847	Oogenic	800.892	325.853	WBGene00019947	Oogenic only	WBGene00019947	protein_coding	IV	3'UTR
II	13322052	13322139	3	WBGene00012990	-	0	3.0	sam-10	-0.9485127	Gender Neutral	38.2155	19.6212	WBGene00012990	Oogenic only	WBGene00012990	protein_coding	II	3'UTR
II	13322224	13322283	4	WBGene00012990	-	0	4.0	sam-10	-0.9485127	Gender Neutral	38.2155	19.6212	WBGene00012990	Oogenic only	WBGene00012990	protein_coding	II	3'UTR
III	13515280	13515324	3	WBGene00004075	-	0	3.0	pod-1	-0.7124525	Gender Neutral	232.153	136.586	WBGene00004075	Oogenic only	WBGene00004075	protein_coding	III	3'UTR
II	7611422	7611467	3	WBGene00019943	-	0	3.0	R07G3.7	0.2401427	Gender Neutral	71.5578	80.9295	WBGene00019943	Oogenic only	WBGene00019943	protein_coding	II	3'UTR
I	9609768	9609836	4	WBGene00002070	-	0	4.0	ile-1					WBGene00002070	Oogenic and Spermatogenic	WBGene00002070	protein_coding	I	3'UTR
I	6317062	6317095	2	WBGene00002073	+	0	2.0	ima-2	-2.078687	Oogenic	518.305	118.509	WBGene00002073	Oogenic only	WBGene00002073	protein_coding	I	3'UTR
IV	14790847	14790914	2	WBGene00001558	-	0	2.0	gdi-1	0.0951842	Gender Neutral	249.916	254.489	WBGene00001558	Oogenic and Spermatogenic	WBGene00001558	protein_coding	IV	3'UTR
IV	7558827	7558902	4	WBGene00002074	-	0	4.0	ima-3	-0.08507109	Gender Neutral	186.83	169.188	WBGene00002074	Oogenic only	WBGene00002074	protein_coding	IV	3'UTR
IV	7559085	7559154	4	WBGene00002074	-	0	4.0	ima-3	-0.08507109	Gender Neutral	186.83	169.188	WBGene00002074	Oogenic only	WBGene00002074	protein_coding	IV	3'UTR
IV	7559183	7559238	4	WBGene00002074	-	0	4.0	ima-3	-0.08507109	Gender Neutral	186.83	169.188	WBGene00002074	Oogenic only	WBGene00002074	protein_coding	IV	3'UTR
IV	7559506	7559542	3	WBGene00002074	-	0	3.0	ima-3	-0.08507109	Gender Neutral	186.83	169.188	WBGene00002074	Oogenic only	WBGene00002074	protein_coding	IV	3'UTR
I	311163	311202	4	WBGene00002077	-	0	4.0	imb-3	-0.1679382	Gender Neutral	281.567	243.31	WBGene00002077	Oogenic only	WBGene00002077	protein_coding	I	3'UTR
II	14373743	14373790	4	WBGene00002076	+	0	4.0	imb-2	-1.367759	Oogenic	105.241	39.4754	WBGene00002076	Oogenic only	WBGene00002076	protein_coding	II	3'UTR
IV	6742961	6743028	4	WBGene00003030	-	0	4.0	lin-45	-1.165084	Oogenic	60.2693	25.606	WBGene00003030	Oogenic only	WBGene00003030	protein_coding	IV	3'UTR
I	4759881	4759931	2	WBGene00015698	-	0	2.0	kca-1	-1.636468	Oogenic	161.272	49.9434	WBGene00015698	Oogenic only	WBGene00015698	protein_coding	I	3'UTR
I	4759935	4759986	2	WBGene00015698	-	0	2.0	kca-1	-1.636468	Oogenic	161.272	49.9434	WBGene00015698	Oogenic only	WBGene00015698	protein_coding	I	3'UTR
II	14165952	14165984	2	WBGene00006964	+	0	2.0	xrn-2					WBGene00006964	Oogenic only	WBGene00006964	protein_coding	II	3'UTR
II	11743541	11743597	3	WBGene00001679	-	0	3.0	gpb-1	-1.058669	Oogenic	109.728	50.4105	WBGene00001679	Oogenic only	WBGene00001679	protein_coding	II	3'UTR
II	11743608	11743665	2	WBGene00001679	-	0	2.0	gpb-1	-1.058669	Oogenic	109.728	50.4105	WBGene00001679	Oogenic only	WBGene00001679	protein_coding	II	3'UTR
III	8243149	8243225	4	WBGene00003952	-	0	4.0	pbs-6	0.4320238	Gender Neutral	369.077	484.456	WBGene00003952	Oogenic only	WBGene00003952	protein_coding	III	3'UTR
IV	10002105	10002148	2	WBGene00008147	-	0	2.0	C47E12.2	-0.74089	Gender Neutral	88.8625	50.5555	WBGene00008147	Oogenic only	WBGene00008147	protein_coding	IV	3'UTR
X	6060964	6061005	2	WBGene00004219	-	0	2.0	ptr-4					WBGene00004219		WBGene00004219	protein_coding	X	CDS
V	14445415	14445491	2	WBGene00009082	-	0	2.0	dlat-1	0.2911259	Gender Neutral	196.284	229.329	WBGene00009082	Oogenic and Spermatogenic	WBGene00009082	protein_coding	V	3'UTR
V	14445533	14445575	3	WBGene00009082	-	0	3.0	dlat-1	0.2911259	Gender Neutral	196.284	229.329	WBGene00009082	Oogenic and Spermatogenic	WBGene00009082	protein_coding	V	3'UTR
II	14747271	14747325	3	WBGene00013188	-	0	3.0	smg-9	-0.2057296	Gender Neutral	8.27456	6.97437	WBGene00013188	Oogenic and Spermatogenic	WBGene00013188	protein_coding	II	3'UTR
I	5109947	5110009	4	WBGene00000001	+	0	4.0	aap-1	-0.4596396	Gender Neutral	70.825	50.8052	WBGene00000001	Oogenic only	WBGene00000001	protein_coding	I	3'UTR
IV	16482853	16482902	2	WBGene00004357	-	0	2.0	rho-1	0.149556	Gender Neutral	145.879	157.636	WBGene00004357	Oogenic only	WBGene00004357	ncRNA	IV	3'UTR
IV	16482949	16483003	3	WBGene00004357	-	0	3.0	rho-1	0.149556	Gender Neutral	145.879	157.636	WBGene00004357	Oogenic only	WBGene00004357	ncRNA	IV	3'UTR
IV	4706886	4706918	2	WBGene00019543	-	0	2.0	cif-1	0.4255549	Gender Neutral	207.485	270.047	WBGene00019543	Oogenic only	WBGene00019543	protein_coding	IV	3'UTR
IV	8643885	8643920	2	WBGene00006483	+	0	2.0	dgk-4	-0.6259334	Gender Neutral	45.3795	28.3248	WBGene00006483	Oogenic only	WBGene00006483	protein_coding	IV	3'UTR
II	14782536	14782620	4	WBGene00013193	+	0	4.0	Y54E2A.8	0.2552776	Gender Neutral	34.6285	39.0465	WBGene00013193	Oogenic and Spermatogenic	WBGene00013193	protein_coding	II	3'UTR
III	8725062	8725134	2	WBGene00022717	+	0	2.0	hipr-1	-1.682034	Oogenic	58.9496	17.3218	WBGene00022717	Oogenic only	WBGene00022717	protein_coding	III	3'UTR
V	4958863	4958904	2	WBGene00006523	-	0	2.0	tam-1	-1.257323	Oogenic	66.4592	27.1769	WBGene00006523	Oogenic only	WBGene00006523	protein_coding	V	3'UTR
V	4958937	4959005	2	WBGene00006523	-	0	2.0	tam-1	-1.257323	Oogenic	66.4592	27.1769	WBGene00006523	Oogenic only	WBGene00006523	protein_coding	V	3'UTR
I	7152741	7152772	2	WBGene00010641	-	0	2.0	crml-1	-0.8436647	Gender Neutral	71.7783	38.3232	WBGene00010641	Oogenic and Spermatogenic	WBGene00010641	protein_coding	I	3'UTR
III	4193873	4193909	4	WBGene00006959	+	0	4.0	xbp-1	1.1916	Spermatogenic	86.031	191.264	WBGene00006959	Oogenic and Spermatogenic	WBGene00006959	protein_coding	III	5'UTR
III	4195262	4195325	2	WBGene00006959	+	0	2.0	xbp-1	1.1916	Spermatogenic	86.031	191.264	WBGene00006959	Oogenic and Spermatogenic	WBGene00006959	protein_coding	III	3'UTR
III	5971669	5971709	2	WBGene00003375	-	0	2.0	mlp-1	0.9366304	Gender Neutral	43.5926	82.3339	WBGene00003375	Oogenic and Spermatogenic	WBGene00003375	protein_coding	III	3'UTR
II	1152636	1152671	2	WBGene00004076	+	0	2.0	pod-2	0.8520406	Gender Neutral	34.7332	60.6691	WBGene00004076	Oogenic only	WBGene00004076	protein_coding	II	3'UTR
V	6114690	6114728	3	WBGene00017534	+	0	3.0	F17A9.2	0.1388444	Gender Neutral	75.3694	78.0932	WBGene00017534	Oogenic only	WBGene00017534	protein_coding	V	3'UTR
III	4888131	4888174	2	WBGene00017827	-	0	2.0	F26F4.5	0.429971	Gender Neutral	51.1973	65.9977	WBGene00017827	Oogenic and Spermatogenic	WBGene00017827	protein_coding	III	3'UTR
III	5565085	5565157	2	WBGene00003371	+	0	2.0	mlc-3	0.8573578	Gender Neutral	64.8341	119.49	WBGene00003371	Spermatogenic only	WBGene00003371	protein_coding	III	5'UTR
III	5567007	5567089	2	WBGene00003371	+	0	2.0	mlc-3	0.8573578	Gender Neutral	64.8341	119.49	WBGene00003371	Spermatogenic only	WBGene00003371	protein_coding	III	3'UTR
III	5567228	5567329	4	WBGene00003371	+	0	4.0	mlc-3	0.8573578	Gender Neutral	64.8341	119.49	WBGene00003371	Spermatogenic only	WBGene00003371	protein_coding	III	3'UTR
X	17455804	17455900	4	WBGene00003370	-	0	4.0	mlc-2	0.8806743	Gender Neutral	88.4339	161.342	WBGene00003370	Oogenic and Spermatogenic	WBGene00003370	protein_coding	X	3'UTR
I	7585416	7585479	3	WBGene00004178	-	0	3.0	prg-1	0.695567	Gender Neutral	175.111	273.183	WBGene00004178	Oogenic only	WBGene00004178	protein_coding	I	3'UTR
II	10787143	10787205	2	WBGene00000411	+	0	2.0	cdl-1	-1.341844	Oogenic	217.515	83.5935	WBGene00000411	Oogenic only	WBGene00000411	protein_coding	II	3'UTR
II	6023246	6023300	2	WBGene00022649	+	0	2.0	ZK84.1					WBGene00022649	Oogenic only	WBGene00022649	protein_coding	II	3'UTR
I	5490485	5490533	4	WBGene00015634	+	0	4.0	C09D4.3	9.501451	Spermatogenic	0.451767	286.118	WBGene00015634	Spermatogenic only	WBGene00015634	protein_coding	I	3'UTR
IV	13199062	13199139	4	WBGene00000417	-	0	4.0	ced-3	-1.174795	Oogenic	137.914	59.1825	WBGene00000417	Oogenic only	WBGene00000417	protein_coding	IV	3'UTR
I	4678963	4679027	3	WBGene00006791	+	0	3.0	unc-57	-0.5790972	Gender Neutral	97.6365	64.345	WBGene00006791	Oogenic only	WBGene00006791	protein_coding	I	3'UTR
V	11916245	11916310	4	WBGene00004855	+	0	4.0	sma-1	2.726077	Spermatogenic	7.30881	46.7597	WBGene00004855	Oogenic and Spermatogenic	WBGene00004855	protein_coding	V	3'UTR
V	11916488	11916541	3	WBGene00004855	+	0	3.0	sma-1	2.726077	Spermatogenic	7.30881	46.7597	WBGene00004855	Oogenic and Spermatogenic	WBGene00004855	protein_coding	V	3'UTR
V	12315036	12315129	4	WBGene00011016	-	0	4.0	R04F11.3	-0.03463834	Gender Neutral	153.598	144.232	WBGene00011016	Oogenic and Spermatogenic	WBGene00011016	protein_coding	V	3'UTR
III	8161561	8161610	2	WBGene00016803	-	0	2.0	bath-42	-0.1480761	Gender Neutral	186.964	162.566	WBGene00016803	Oogenic only	WBGene00016803	protein_coding	III	3'UTR
III	8161782	8161852	3	WBGene00016803	-	0	3.0	bath-42	-0.1480761	Gender Neutral	186.964	162.566	WBGene00016803	Oogenic only	WBGene00016803	protein_coding	III	3'UTR
I	8316000	8316034	2	WBGene00009921	-	0	2.0	F52B5.2	-1.596478	Oogenic	131.894	41.5954	WBGene00009921	Oogenic only	WBGene00009921	protein_coding	I	3'UTR
II	276674	276769	3	WBGene00015189	-	0	3.0	B0432.8					WBGene00015189	Oogenic only	WBGene00015189	protein_coding	II	3'UTR
II	277020	277055	2	WBGene00015189	-	0	2.0	B0432.8					WBGene00015189	Oogenic only	WBGene00015189	protein_coding	II	CDS
III	4697890	4697920	2	WBGene00011409	+	0	2.0	T04A8.7					WBGene00011409	Oogenic only	WBGene00011409	protein_coding	III	3'UTR
IV	14083401	14083438	2	WBGene00009924	+	0	2.0	cfp-1	-0.7828428	Gender Neutral	65.7562	35.5209	WBGene00009924	Oogenic only	WBGene00009924	protein_coding	IV	3'UTR
V	18998130	18998182	2	WBGene00012694	+	0	2.0	Y39B6A.36	-0.01314294	Gender Neutral	131.425	125.562	WBGene00012694	Oogenic only	WBGene00012694	protein_coding	V	3'UTR
V	8415102	8415166	4	WBGene00004078	+	0	4.0	pos-1	-3.706484	Oogenic	1010.91	76.0004	WBGene00004078	Oogenic and Spermatogenic	WBGene00004078	protein_coding	V	3'UTR
II	12944861	12944973	4	WBGene00006315	-	0	4.0	sup-6					WBGene00006315		WBGene00006315	snRNA	II	ncRNA
III	9516939	9516974	2	WBGene00000550	-	0	2.0	clu-1	0.01344855	Gender Neutral	103.815	100.937	WBGene00000550	Oogenic only	WBGene00000550	protein_coding	III	3'UTR
III	5431908	5431957	2	WBGene00020968	-	0	2.0	W03A5.4	0.4195917	Gender Neutral	35.0831	44.3063	WBGene00020968	Oogenic and Spermatogenic	WBGene00020968	protein_coding	III	3'UTR
II	7472900	7472958	4	WBGene00000101	-	0	4.0	aka-1	-0.5881372	Gender Neutral	98.889	63.1563	WBGene00000101	Oogenic only	WBGene00000101	protein_coding	II	3'UTR
II	14400904	14400957	2	WBGene00009180	+	0	2.0	nurf-1	-0.5771247	Gender Neutral	98.8308	67.1936	WBGene00009180	Oogenic only	WBGene00009180	protein_coding	II	CDS
IV	13095379	13095430	2	WBGene00008035	+	0	2.0	C39E9.12	-1.176968	Oogenic	133.845	58.2682	WBGene00008035	Oogenic only	WBGene00008035	protein_coding	IV	3'UTR
V	1157641	1157708	3	WBGene00000552	+	0	3.0	cmd-1	1.114276	Spermatogenic	241.969	477.682	WBGene00000552	Oogenic and Spermatogenic	WBGene00000552	protein_coding	V	3'UTR
V	1157723	1157767	4	WBGene00000552	+	0	4.0	cmd-1	1.114276	Spermatogenic	241.969	477.682	WBGene00000552	Oogenic and Spermatogenic	WBGene00000552	protein_coding	V	3'UTR
